w,A,p
1.203e+02,1.131e-02,-4.660e+00
1.205e+02,1.121e-02,-4.678e+00
1.207e+02,1.110e-02,-4.696e+00
1.209e+02,1.099e-02,-4.715e+00
1.211e+02,1.088e-02,-4.733e+00
1.213e+02,1.076e-02,-4.751e+00
1.215e+02,1.065e-02,-4.769e+00
1.217e+02,1.053e-02,-4.787e+00
1.219e+02,1.041e-02,-4.806e+00
1.221e+02,1.029e-02,-4.824e+00
1.223e+02,1.016e-02,-4.842e+00
1.225e+02,1.003e-02,-4.860e+00
1.227e+02,9.903e-03,-4.878e+00
1.229e+02,9.772e-03,-4.897e+00
1.231e+02,9.638e-03,-4.915e+00
1.233e+02,9.503e-03,-4.933e+00
1.235e+02,9.365e-03,-4.951e+00
1.237e+02,9.226e-03,-4.970e+00
1.239e+02,9.086e-03,-4.988e+00
1.241e+02,8.943e-03,-5.006e+00
1.243e+02,8.799e-03,-5.024e+00
1.245e+02,8.654e-03,-5.042e+00
1.247e+02,8.507e-03,-5.061e+00
1.249e+02,8.359e-03,-5.079e+00
1.251e+02,8.209e-03,-5.097e+00
1.253e+02,8.058e-03,-5.115e+00
1.255e+02,7.906e-03,-5.133e+00
1.257e+02,7.753e-03,-5.152e+00
1.259e+02,7.598e-03,-5.170e+00
1.261e+02,7.443e-03,-5.188e+00
1.263e+02,7.287e-03,-5.206e+00
1.265e+02,7.129e-03,-5.224e+00
1.267e+02,6.971e-03,-5.243e+00
1.269e+02,6.812e-03,-5.261e+00
